Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","ALL","All Games","LAD","33","21","61%","-264","All Games","CLE","29","24","54%","+435"
"2025-05-28","LOCATION","On Road","LAD","14","13","51%","-291","At Home","CLE","14","9","60%","+238"
"2025-05-28","STATUS","As Favorite","LAD","29","16","64%","-164","As Underdog or Even","CLE","17","17","50%","+262"
"2025-05-28","MONEY LINE","When Line was -144 to -114","LAD","3","4","42%","-156","When Line was -105 to +125","CLE","12","10","54%","+240"
"2025-05-28","LOCATION & STATUS","As Road Favorite","LAD","10","8","55%","-191","As Home Underdog","CLE","6","7","46%","-98"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","LAD","7","9","43%","-409","vs Teams That Win >54% of Games","CLE","8","11","42%","-283"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","LAD","23","15","60%","-392","vs Teams Allowing >4.2 Runs","CLE","16","14","53%","+266"
"2025-05-28","REST","3rd game without a day off","LAD","19","13","59%","-384","3rd game without a day off","CLE","20","15","57%","+467"
"2025-05-28","HEAD TO HEAD","vs CLE","LAD","1","0","100%","+55","vs LAD","CLE","0","1","0%","-100"
"2025-05-28","PROJECTED STARTER","when Dustin May starts","LAD","4","5","44%","-292","when Tanner Bibee starts","CLE","6","4","60%","+132"
"2025-05-28","ALL","All Games","STL","31","23","57%","+787","All Games","BAL","19","34","35%","-1673"
"2025-05-28","LOCATION","On Road","STL","11","16","40%","-357","At Home","BAL","9","15","37%","-749"
"2025-05-28","STATUS","As Favorite","STL","10","8","55%","-60","As Underdog or Even","BAL","10","15","40%","-453"
"2025-05-28","MONEY LINE","When Line was -139 to -109","STL","7","7","50%","-118","When Line was -111 to +119","BAL","10","11","47%","-53"
"2025-05-28","LOCATION & STATUS","As Road Favorite","STL","1","5","16%","-412","As Home Underdog","BAL","2","2","50%","+10"
"2025-05-28","OPP WIN%","vs Teams That Win <46% of Games","STL","10","7","58%","+251","vs Teams That Win >54% of Games","BAL","5","4","55%","+54"
"2025-05-28","OPP DEFENSE","vs Teams Allowing >4.2 Runs","STL","15","7","68%","+650","vs Teams Allowing 3.9 to 4.2 Runs","BAL","4","5","44%","-126"
"2025-05-28","REST","3rd game without a day off","STL","18","19","48%","-18","3rd game without a day off","BAL","15","19","44%","-499"
"2025-05-28","HEAD TO HEAD","vs BAL","STL","0","1","0%","-100","vs STL","BAL","1","0","100%","+97"
"2025-05-28","PROJECTED STARTER","when Andre Pallante starts","STL","6","4","60%","+259","when Tomoyuki Sugano starts","BAL","6","4","60%","+144"
"2025-05-28","ALL","All Games","SF","31","23","57%","+224","All Games","DET","34","21","61%","+480"
"2025-05-28","LOCATION","On Road","SF","14","14","50%","+33","At Home","DET","19","8","70%","+499"
"2025-05-28","STATUS","As Favorite","SF","20","12","62%","+85","As Underdog or Even","DET","11","10","52%","+233"
"2025-05-28","MONEY LINE","When Line was -134 to -104","SF","6","7","46%","-187","When Line was -115 to +115","DET","8","5","61%","+289"
"2025-05-28","LOCATION & STATUS","As Road Favorite","SF","4","5","44%","-208","As Home Underdog","DET","4","2","66%","+243"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","SF","12","8","60%","+373","vs Teams That Win >54% of Games","DET","8","10","44%","-358"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","SF","8","11","42%","-390","vs Teams Allowing <3.9 Runs","DET","10","8","55%","-101"
"2025-05-28","REST","3rd game without a day off","SF","23","16","59%","+274","3rd game without a day off","DET","23","18","56%","-154"
"2025-05-28","HEAD TO HEAD","vs DET","SF","0","1","0%","-100","vs SF","DET","1","0","100%","+90"
"2025-05-28","PROJECTED STARTER","when Logan Webb starts","SF","6","5","54%","-89","when Jack Flaherty starts","DET","2","8","20%","-679"
"2025-05-28","ALL","All Games","ATL","25","27","48%","-975","All Games","PHI","33","20","62%","+32"
"2025-05-28","LOCATION","On Road","ATL","9","18","33%","-1072","At Home","PHI","17","8","68%","+183"
"2025-05-28","STATUS","As Underdog or Even","ATL","4","8","33%","-365","As Favorite","PHI","28","16","63%","-113"
"2025-05-28","MONEY LINE","When Line was -123 to +107","ATL","6","5","54%","+37","When Line was -126 to +104","PHI","3","7","30%","-440"
"2025-05-28","LOCATION & STATUS","As Road Underdog","ATL","3","7","30%","-382","As Home Favorite","PHI","14","8","63%","-134"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","ATL","7","12","36%","-658","vs Teams That Win 46-54% of Games","PHI","3","3","50%","-90"
"2025-05-28","OPP DEFENSE","vs Teams Allowing 3.9 to 4.2 Runs","ATL","5","7","41%","-348","vs Teams Allowing 3.9 to 4.2 Runs","PHI","5","4","55%","-87"
"2025-05-28","REST","After a Day Off","ATL","4","4","50%","-129","After a Day Off","PHI","6","2","75%","+135"
"2025-05-28","HEAD TO HEAD","vs PHI","ATL","2","1","66%","+58","vs ATL","PHI","1","2","33%","-78"
"2025-05-28","PROJECTED STARTER","when Spencer Strider starts","ATL","0","2","0%","-200","when Ranger Suarez starts","PHI","3","1","75%","+51"
